system:index,date,location,rainfall_mm,.geo
20200101,2020-01-01,Quang Tri,10.959515939651821,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200102,2020-01-02,Quang Tri,9.221848609508019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200103,2020-01-03,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200104,2020-01-04,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200105,2020-01-05,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200106,2020-01-06,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200107,2020-01-07,Quang Tri,7.951848648347559,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200108,2020-01-08,Quang Tri,8.141230350551634,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200109,2020-01-09,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200110,2020-01-10,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200111,2020-01-11,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112,2020-01-12,Quang Tri,11.852279447155038,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200113,2020-01-13,Quang Tri,2.413215305358813,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200114,2020-01-14,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200115,2020-01-15,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200116,2020-01-16,Quang Tri,2.362448647819752,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200117,2020-01-17,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200118,2020-01-18,Quang Tri,0.2103118857387723,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200119,2020-01-19,Quang Tri,3.377957642675972,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200120,2020-01-20,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200121,2020-01-21,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122,2020-01-22,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200123,2020-01-23,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200124,2020-01-24,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200125,2020-01-25,Quang Tri,18.64925074815414,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200126,2020-01-26,Quang Tri,0.3121542104082761,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127,2020-01-27,Quang Tri,1.6553416809807846,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200128,2020-01-28,Quang Tri,5.768727635658535,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200129,2020-01-29,Quang Tri,8.430003318704069,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200130,2020-01-30,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200131,2020-01-31,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200201,2020-02-01,Quang Tri,5.778739483601517,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200202,2020-02-02,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200203,2020-02-03,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
